Frame_Name	ID	left	top	right	bottom
simonIdle_r	10009	686	7	704	39
simonIdle_l	11000	80	9	98	41
simonWalk_r	10001	661	6	675	39
simonWalk_r	10002	632	7	649	39
simonWalk_l	11001	109	8	123	41
simonWalk_l	11002	135	9	152	41
simonSit_r	10005	603	14	621	39
simonSit_l	11005	163	16	181	41
simonDie_r	10999	463	22	497	39
simonDie_l	11999	287	24	321	41
simonRope_r	10010	698	50	724	82
simonRope_r	10011	658	50	676	82
simonRope_r	10012	608	51	632	82
simonRope_l	11010	60	52	86	84
simonRope_l	11011	108	52	126	84
simonRope_l	11012	152	53	176	84
siSitRope_r	10020	730	329	764	362
siSitRope_r	10021	686	333	720	358
siSitRope_r	10022	608	335	654	359
siSitRope_l	11020	20	331	54	364
siSitRope_l	11021	64	335	98	360
siSitRope_l	11022	130	337	176	361
