Animation_Name	sID	aniID	Time
simonIdle_r	10009	1000	100
simonIdle_l	11000	1001	100
simonWalk_r	10009	1002	125
simonWalk_r	10001	1002	125
simonWalk_r	10002	1002	125
simonWalk_l	11000	1003	125
simonWalk_l	11001	1003	125
simonWalk_l	11002	1003	125
simonSit_r	10005	1004	100
simonSit_l	11005	1005	100
simonDie_r	10999	1006	100
simonDie_l	11999	1007	100
simonRope_r	10010	1008	200
simonRope_r	10011	1008	200
simonRope_r	10012	1008	200
simonRope_l	11010	1009	200
simonRope_l	11011	1009	200
simonRope_l	11012	1009	200
siSitRope_r	10020	1010	200
siSitRope_r	10021	1010	200
siSitRope_r	10022	1010	200
siSitRope_l	11020	1011	200
siSitRope_l	11021	1011	200
siSitRope_l	11022	1011	200
